INVSALES	treat	s	chica	id_firma	grande	PET	s2	s3	streat	streat2	streat3	notreat	snotreat	snotreat2	snotreat3	schica	schica2	schica3	sgrande	sgrande2	sgrande3	treatchica	streatchica	streatchica2	streatchica3	treatgrande	streatgrande	streatgrande2	streatgrande3	_est_A
.34156594	1	7	1	59	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
.060107511	1	4	1	302	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
.066909976	1	17	1	209	0	92	289	4913	17	289	4913	0	0	0	0	17	289	4913	0	0	0	1	17	289	4913	0	0	0	0	1
.085182965	1	13	1	336	0	88	169	2197	13	169	2197	0	0	0	0	13	169	2197	0	0	0	1	13	169	2197	0	0	0	0	1
.35652173	1	14	1	200	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
.12217573	1	12	1	135	0	87	144	1728	12	144	1728	0	0	0	0	12	144	1728	0	0	0	1	12	144	1728	0	0	0	0	1
-.025224702	1	15	1	244	0	90	225	3375	15	225	3375	0	0	0	0	15	225	3375	0	0	0	1	15	225	3375	0	0	0	0	1
.048041515	1	10	1	129	0	85	100	1000	10	100	1000	0	0	0	0	10	100	1000	0	0	0	1	10	100	1000	0	0	0	0	1
.2486852	1	6	1	33	0	81	36	216	6	36	216	0	0	0	0	6	36	216	0	0	0	1	6	36	216	0	0	0	0	1
.012368917	1	3	1	126	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
.20871598	1	5	1	82	0	80	25	125	5	25	125	0	0	0	0	5	25	125	0	0	0	1	5	25	125	0	0	0	0	1
.062759504	1	1	1	120	0	76	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
.085531093	1	17	1	350	0	92	289	4913	17	289	4913	0	0	0	0	17	289	4913	0	0	0	1	17	289	4913	0	0	0	0	1
.057791539	1	2	1	217	0	77	4	8	2	4	8	0	0	0	0	2	4	8	0	0	0	1	2	4	8	0	0	0	0	1
.18692923	1	11	1	199	0	86	121	1331	11	121	1331	0	0	0	0	11	121	1331	0	0	0	1	11	121	1331	0	0	0	0	1
-.0041374923	1	19	1	297	0	94	361	6859	19	361	6859	0	0	0	0	19	361	6859	0	0	0	1	19	361	6859	0	0	0	0	1
-.0045601367	1	0	1	259	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
.0026075619	1	7	1	260	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
.09717568	1	1	1	137	0	76	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
-.009710188	1	4	1	94	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
-.012538687	1	1	1	89	0	76	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
.0089079514	1	15	1	11	0	90	225	3375	15	225	3375	0	0	0	0	15	225	3375	0	0	0	1	15	225	3375	0	0	0	0	1
.020059753	1	8	1	105	0	83	64	512	8	64	512	0	0	0	0	8	64	512	0	0	0	1	8	64	512	0	0	0	0	1
.01325	1	14	1	342	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
.078825347	1	0	1	284	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
.14871195	1	4	1	274	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
.25844374	1	1	1	10	0	76	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
.032658614	1	7	1	168	0	82	49	343	7	49	343	0	0	0	0	7	49	343	0	0	0	1	7	49	343	0	0	0	0	1
.005140916	1	4	1	267	0	79	16	64	4	16	64	0	0	0	0	4	16	64	0	0	0	1	4	16	64	0	0	0	0	1
.072454445	1	3	1	146	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
.0042979941	1	16	1	292	0	91	256	4096	16	256	4096	0	0	0	0	16	256	4096	0	0	0	1	16	256	4096	0	0	0	0	1
-.036446992	1	3	1	195	0	78	9	27	3	9	27	0	0	0	0	3	9	27	0	0	0	1	3	9	27	0	0	0	0	1
.20932689	1	14	1	104	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
.0057783821	1	0	1	218	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
.001324942	1	14	1	245	0	89	196	2744	14	196	2744	0	0	0	0	14	196	2744	0	0	0	1	14	196	2744	0	0	0	0	1
.16960149	1	0	1	293	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
